x_byte0,x_byte1,y_byte0,y_byte1,dac1,dac2
106,251,84,188,39,39
87,251,82,188,38,38
76,251,181,188,37,37
175,251,136,188,36,36
174,251,150,188,36,36
128,251,232,188,35,35
228,251,206,188,35,35
239,251,204,188,34,34
239,251,204,188,34,34
223,251,219,188,34,34
197,251,45,189,33,33
196,251,45,189,33,33
202,251,50,189,33,33
37,250,0,189,32,32
20,250,16,189,32,32
117,250,112,189,31,31
122,250,70,189,31,31
92,250,93,189,30,30
91,250,92,189,30,30
74,250,175,189,29,29
189,250,191,189,29,29
187,250,189,189,28,28
157,250,144,189,27,27
139,250,229,189,27,27
255,250,242,189,27,27
213,250,200,189,26,26
210,250,213,189,25,25
50,253,52,186,24,24
23,253,12,186,24,24
20,253,9,186,23,23
103,253,122,186,22,22
106,253,75,186,21,21
69,253,167,186,21,21
79,253,160,186,21,21
162,253,132,186,20,20
175,253,131,186,19,19
132,253,230,186,19,19
142,253,227,186,18,18
227,253,248,186,18,18
225,253,198,186,17,17
217,253,219,186,17,17
216,253,218,186,17,17
202,253,46,187,16,16
39,252,60,187,15,15
21,252,9,187,15,15
25,252,29,187,14,14
127,252,123,187,13,13
126,252,123,187,13,13
81,252,92,187,12,12
179,252,177,187,11,11
178,252,176,187,11,11
168,252,149,187,11,11
153,252,152,187,10,10
136,252,247,187,10,10
246,252,245,187,9,9
248,252,250,187,9,9
232,252,215,187,8,8
194,252,38,184,8,8
56,255,63,184,7,7
45,255,12,184,7,7
43,255,11,184,6,6
4,255,98,184,6,6
99,255,66,184,5,5
81,255,82,184,4,4
68,255,163,184,4,4
68,255,163,184,3,3
165,255,132,184,2,2
165,255,132,184,2,2
149,255,148,184,2,2
152,255,154,184,1,1
253,255,253,184,1,1
250,255,249,184,0,0
220,255,221,184,1,1
221,255,220,184,1,1
204,255,44,185,1,1
50,254,50,185,1,1
63,254,63,185,2,2
196,255,35,185,2,2
236,255,205,184,3,3
152,0,0,0,3,3
230,255,198,184,3,3
132,255,227,184,4,4
135,255,230,184,5,5
152,255,231,184,5,5
161,255,128,184,5,5
191,255,188,184,6,6
79,255,172,184,6,6
96,255,77,184,7,7
97,255,78,184,8,8
114,255,127,184,8,8
1,255,107,184,9,9
42,255,11,184,10,10
43,255,11,184,10,10
202,252,42,184,11,11
198,252,35,184,11,11
233,252,215,187,12,12
135,252,237,187,13,13
165,252,139,187,14,14
191,252,188,187,14,14
152,0,0,97,15,15
70,252,175,187,15,15
102,252,79,187,16,16
5,252,103,187,17,17
24,252,27,187,18,18
35,252,5,187,18,18
195,253,38,187,20,20
226,253,198,186,21,21
128,253,225,186,22,22
173,253,129,186,23,23
173,253,129,186,23,23
75,253,173,186,24,24
106,253,74,186,25,25
106,253,75,186,25,25
114,253,117,186,25,25
118,253,105,186,26,26
0,253,100,186,26,26
37,253,57,186,27,27
51,253,53,186,28,28
221,250,208,189,28,28
234,250,205,189,29,29
249,250,253,189,29,29
154,250,156,189,30,30
173,250,142,189,31,31
184,250,185,189,31,31
69,250,165,189,32,32
89,250,89,189,33,33
89,250,90,189,33,33
103,250,67,189,34,34
12,250,116,189,34,34
